Quotes,Word Count,Magnitude,Polarity,,Word Count,Polarity,Magnitude
"""It is better to fail in originality than to succeed in imitation.""",12,0.7,-1,average,22.9,0.05,0.76
"""A man who has committed a mistake and doesn’t correct it is committing another mistake.""",15,0.8,-1,standard deviation,15.65045821,0.958342868,0.7479093669
"""No woman wants to be in submission to a man who isn’t in submission to God!""",16,0.8,-1,Pearson r (WC),,-0.1838779756,0.7487498902
"""I always wanted to be somebody, but now I realise I should have been more specific.""",16,0.4,-1,Pearson r (Pol),,,-0.01542040593
"""The elevator to success is out of order. You’ll have to use the stairs, one step at a time.""",19,1,-1,,,,
"""It took me quite a long time to develop a voice, and now that I have it, I am not going to be silent.""",24,0.5,-1,,Linear Regression,,
"""We need women at all levels, including the top, to change the dynamic, reshape the conversation, to make sure women’s voices are heard and heeded, not overlooked and ignored.""",29,0.2,-1,"y = pol, x = wc",,,
"""You’ll find that education is just about the only thing lying around loose in this world, and it’s about the only thing a fellow can have as much of as he’s willing to haul away.""",35,0.3,-1,,slope,intercept,polarity = 0.3078 - 0.0113 * word count
"""Nothing in the world can take the place of Persistence. Talent will not; nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Education will not; the world is full of educated derelicts. The slogan 'Press On' has solved and always will solve the problems of the human race.""",57,2.3,-0.5,coefficient,-0.0112596158,0.3078452018,r2 = 0.0338
"""Some women choose to follow men, and some choose to follow their dreams. If you’re wondering which way to go, remember that your career will never wake up and tell you that it doesn’t love you anymore.""",37,0.2,0,standard error,0.01418693651,0.3903599451,
"""Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it.""",66,3.2,0.5,"r2, standard error",0.0338111099,0.9678152984,
"""One man with courage makes a majority.""",7,0.4,1,"F stat, df",0.6298975123,18,
"""He who conquers himself is the mightiest warrior.""",8,0,1,"regression SS, residual SS",0.5900038678,16.85999613,
"""Success usually comes to those who are too busy looking for it.""",12,0.3,1,,,,
"""A witty woman is a treasure; a witty beauty is a power.""",12,0.9,1,"y = mag, x = wc",,,magnitude = -0.0594 + 0.0358 * word count
"""Alone we can do so little, together we can do so much.""",12,0.8,1,coefficient,0.03578151188,-0.05939662212,r2 = 0.5606
"""I invite everyone to choose forgiveness rather than division, teamwork over personal ambition.""",13,0.4,1,standard error,0.00746625198,0.2054372846,
"""Remember, teamwork begins by building trust. And the only way to do that is to overcome our need for invulnerability.""",20,0.8,1,"r2, standard error",0.5606263981,0.5093384948,
"""The strongest actions for a woman is to love herself, be herself and shine amongst those who never believed she could.""",21,0.4,1,"F stat, df",22.96741343,18,
"""Success is peace of mind, which is a direct result of self-satisfaction in knowing you made the effort to become the best of which you are capable.""",27,0.8,1,"regression SS, residual SS",5.958337359,4.669662641,
,,,,,,,
,,,,"y = pol, x = mag",,,polarity = 0.0650 - 0.0198 * magnitude
,,,,coefficient,-0.01975912683,0.06501693639,r2 = 0.0002
,,,,standard error,0.3019840803,0.3180166233,
,,,,"r2, standard error",0.0002377889189,0.9844866283,
,,,,"F stat, df",0.004281218567,18,
,,,,"regression SS, residual SS",0.004149416635,17.44585058,